UGC Factory — Roadmap Mise en Production,,,,,,,
Projet vibe-codé par Lucas (Brand Content) via Claude Code — Pilotage : Abdel,,,,,,,
,,,,,,,
#,Tâche,Responsable,Début,Fin,Durée (j),Statut,Notes / Dépendances
21,Provisionner base PostgreSQL (suggestion : Azure Database for PostgreSQL),IT,17/04/2026,18/04/2026,1,À faire,IT tranche selon contrats Azure — fournir URL de connexion
22,Provisionner stockage fichiers (suggestion : Azure Blob Storage),IT,17/04/2026,18/04/2026,1,À faire,IT tranche selon contrats Azure — fournir clés d'accès
23,Provisionner hébergement serveur applicatif,IT,17/04/2026,18/04/2026,1,À faire,IT définit selon politique Orchestra
24,Brancher emails transactionnels,IT,18/04/2026,21/04/2026,1,À faire,IT définit selon outils Orchestra existants
25,Configurer variables d'environnement production,IT,21/04/2026,21/04/2026,0.5,À faire,"Thomas fournit la liste (JWT_SECRET, DB URL, clés stockage, clé Tomorro)"
26,Intégration API Tomorro (remplacement module PDF POC),Thomas,18/04/2026,21/04/2026,1,À faire,Clé API à récupérer auprès du juridique — API V2 REST
25,"Configurer Cloudflare (WAF, CDN, DDoS)",IT / Abdel,17/04/2026,21/04/2026,3,À faire,
26,Configurer sous-domaine Orchestra,IT,17/04/2026,18/04/2026,1,À faire,ugc.orchestra-premaman.com + DNS
27,SSL/TLS (automatique via Cloudflare),IT,18/04/2026,18/04/2026,0.5,À faire,
28,"Monitoring, alertes, backups",IT,21/04/2026,22/04/2026,1,À faire,Outil hébergeur Azure ou équivalent
PHASE 6 — PRÉ-PRODUCTION,,,,,,,
29,Déployer instance staging,IT,22/04/2026,23/04/2026,1,À faire,staging-ugc.orchestra-premaman.com
30,Pipeline CI/CD (GitHub Actions),IT,23/04/2026,24/04/2026,1,À faire,
31,Vérifier accès équipe au staging,Abdel,24/04/2026,24/04/2026,0.5,À faire,
PHASE 7 — QA & RECETTE,,,,,,,
32,Tests parcours participant (dépôt vidéo → confirmation),Lucas / QA,25/04/2026,28/04/2026,2,À faire,
33,Tests parcours admin (modération → contrat),Lucas / QA,25/04/2026,28/04/2026,2,À faire,
34,Tests parcours médiathèque,Lucas / QA,25/04/2026,28/04/2026,1,À faire,
35,"Tests compatibilité mobile / desktop / tablette",Lucas / QA,25/04/2026,28/04/2026,2,À faire,Priorité mobile
36,Tests cas limites + charge,Thomas,28/04/2026,29/04/2026,1,À faire,
37,Correction bugs critiques + failles sécurité,Thomas,29/04/2026,02/05/2026,2,À faire,
38,Validation finale équipe,Abdel / Lucas,02/05/2026,02/05/2026,0.5,À faire,Go/No-Go interne
PHASE 8 — GO-LIVE & PRÉSENTATION VAL,,,,,,,
39,Préparer démo fonctionnelle sur staging,Lucas,05/05/2026,06/05/2026,1,À faire,
40,Définir plan maintenance post-launch,Abdel / Lucas,05/05/2026,06/05/2026,1,À faire,Freelance / interne / TMA
41,Préparer support présentation Val,Lucas / Abdel,06/05/2026,07/05/2026,1,À faire,ETAT_DES_LIEUX.md disponible
42,Présentation Go/No-Go à Val,Abdel / Lucas,07/05/2026,07/05/2026,0.5,À faire,JALON CLÉ
43,Déploiement production,Thomas,08/05/2026,09/05/2026,1,À faire,Après validation Val
,,,,,,,
DURÉE TOTALE ESTIMÉE,,,14/04/2026,09/05/2026,~3.5 semaines,,Phase 1-2 réalisées le 14/04 —
